OUTLET_CODE,PETROL_PUMP,DISTRICT
1782010,AGRO SERVICE STATION,JALORE
11525110,JAGDAMBA OIL CENTER,JALORE
16624010,BABA RAMDEV AUTOMOBILES,JALORE
16333710,PRAVEEN FILLING CENTRE,JALORE
16600650,ABHISEK FILLING STATION,BARMER
11549110,VISHAL SERVICE CENTRE,JALORE
16624120,VANDANA FILLING STATION,BARMER
16624030,BHAGWATI PETROLEUM,BARMER
11545010,OMPRAKASH RAMNIVAS,BARMER
16600570,NAVAL FILLING STATION,BARMER
16601320,APNA PUMP MERTA ROAD,JODHPUR _ RURAL
11472920,GEHLOT AGRO SERVICE CENTRE,JODHPUR _ RURAL
16587550,HAMAR PUMP TINWARI,JODHPUR _ RURAL
16600160,HAMARA PUMP RIYANBADI,JODHPUR _ RURAL
11474510,MS REGISTAN MOTORS,JODHPUR _ RURAL
11540110,NIRMAL PETROLEUM SERVICE,JODHPUR _ RURAL
11502210,PALIWAL AUTOMOBILES,JODHPUR _ RURAL
16624020,SAYAR FILLING STATION,JODHPUR _ RURAL
16601670,TARUN FILLING STATION,JODHPUR _ RURAL
16601720,TULSI HP,JODHPUR _ RURAL
11611010,CHANDRA ENGG. CORP.,BIKANER
11695010,RAJENDRA PETROL SERVICE,BIKANER
16554510,SANJAY CITY FLG CO,BIKANER
16600010,SARAN PETROLEUM,BIKANER
16600020,SHARMA TRAVELS,BIKANER
16600410,BIKANER FILLING STATION,BIKANER
16601960,G R SARAN PETRO POINT,BIKANER
16624470,SHRI VINAYAK PETROLEUM,BIKANER
16625390,RUDRA FUELS,BIKANER
16625500,R.D. SARAN FILLING STATION,BIKANER
16625820,KRISHNA & CO.,BIKANER
11474610,POKRAN AUTOMOBILE,JAISALMER
11472310,NIRMAL MOTORS,JODHPUR _ URBAN
11472520,PURSHOTAM DAS JAGDIST CHANDRA - JDPR,JODHPUR _ URBAN
11472610,MARWAR PETROL SERVICE,JODHPUR _ URBAN
11473420,SHRI JAIN AUTOMOBILES,JODHPUR _ URBAN
11573020,MANDORE PETROL SERVICE,JODHPUR _ URBAN
11581020,GANESHI LAL & SONS,JODHPUR _ URBAN
11681010,MARWAR AUTOMOBILES,JODHPUR _ URBAN
16536910,OMKAR SINGH TAK & SONS,JODHPUR _ URBAN
16600050,PALIWAL FILLING STATION,JODHPUR _ URBAN
16651550,HP SERVICE CENTRE - BGKT,JODHPUR _ URBAN
16600790,KRISHNA FILLING STATION,JODHPUR _ URBAN
16624540,BHASKER FILLING STATION,JODHPUR _ URBAN
16625160,SHANTI FILLING STATION,JODHPUR _ URBAN
16625650,YADAV FILLING STATION,JODHPUR _ URBAN
16651580,MS HSD SAI KRIPA FUELS,JODHPUR _ URBAN
11466410,GANGA PRASAD & COMPANY,NAGAUR
11465910,KANAIYALAL JHUMARMAL,NAGAUR
11465720,JAWARIMAL DWARKA PRASAD,NAGAUR
16625630,MEHARIYA FILLING STATION,NAGAUR
16625480,AMAR ANAND PETROLEUM,NAGAUR
11466610,PARBATSAR FILLING STATION,NAGAUR
11683020,NAGAUR PETROL SERVICE,NAGAUR
16600800,MAA KARNI FILLING STATION,NAGAUR
11474210,GORDHAN RAMJIWAN,NAGAUR
11718010,NAHAR BROS,NAGAUR
11465810,TULSI RAM AMBA LAL,NAGAUR
11473710,RATAN LAL & CO,NAGAUR
16651810,ADHOC NAHAR BROS,NAGAUR
